,Jugador,xG/90,xA/90,Desmarques/90,%RegatesRealizados,%DuelosOfensivosGanados,AccionesAtaqueExitosas/90,Regates/90,CarrerasProgresion/90,GolesSinPenalti/90,%DuelosAereosGanados,xG/Remate,G-xG,PuntuacionTotal,Equipo,Posicion,Edad,VM,FinContrato,Nacionalidad,Pie,Cedido,PartidosJugados,MinutosJugados,Goles,xG,Asistencias,xA,Duelos/90,%DuelosGanados,Altura,Peso,AccionesDefensivasRealizadas/90,Duelosdefensivos/90,%DuelosDefensivosGanados,DuelosAereos90,Entradas/90,PosesionConquistadaPorEntrada,TirosInterceptados/90,Interceptaciones/90,PosesionConquistadaPorIntercepcion,Faltas/90,TarjetasAmarillas,TarjetasAmarillas/90,TarjetasRojas,TarjetasRojas/90,Goles/90,GolesSinPenalti,GolesCabeza,GolesCabeza/90,Remates,Remates/90,%TirosAPorteria,Asistencias/90,Centros/90,%PrecisionCentros,CentrosAreaPequeña/90,DuelosOfensivos/90,ToquesAreaPenalti/90,Aceleraciones/90,PasesRecibidos/90,PasesLargosRecibidos/90,FaltasRecibidas/90,Pases/90,%PrecisionPases,PasesHaciaDelante/90,%PrecisionPasesHaciaAdelante,PasesHaciaAtras/90,%PrecisionPasesHaciaAtras,PasesLaterales/90,%PrecisionPasesLaterales,PasesCorMed90,%PrecisionPasesCorMed,PasesLargos/90,%PrecisionPasesLargos,LongitudMediaPases,LongitudMediaPasesLargos,Asistencias/90.1,SegundasAsistencias/90,TercerasAsistencias/90,%PrecisionDesmarques,JugadasClaves/90,PasesUltimoTercio/90,%PrecisionPasesUltimoTercio,PasesAreaPenalti/90,%PasesAreaPequeña,PasesProfundidad/90,%PrecisionPasesProfundidad,AtaquesProfundidad/90,CentrosUltimoTercio/90,PasesProgresivos/90,%PrecisionPasesProgresivos,GolesRecibidos,GolesRecibidos/90,RematesContra,RematesContra/90,PorteriasImbatidas,%Paradas,xGEnContra,xGEnContra/90,GolesEvitados,GolesEvitados/90,Salidas/90,DuelosAereosPortero90,TirosLibres/90,TirosLibresDirecto/90,%TirosLibresDirecto,Córneres/90,Penaltis,%PenaltisConvertidos
1,Raúl de Tomás,2.45,0.95,0.28,1.09,1.26,1.51,0.86,0.22,1.85,1.28,2.11,2.5,16.36,Espanyol,DC,26,10000000,30/06/2026,Spain,derecho,no,20,1693,12,9.15,1,2.32,19.03,38.55,180,79,3.77,2.6,48.98,3.24,0.27,0.38,0.05,2.23,3.21,1.49,0,0,0,0,0.64,9,2,0.11,48,2.55,50,0.05,0.64,41.67,0.11,9.25,3.14,0.32,14.14,1.97,1.49,18.66,81.2,3.35,68.25,4.57,93.02,6.96,78.63,16,84.05,2.07,71.79,19.16,41.6,0.9,0.16,0.05,50,0.64,2.34,72.73,1.12,66.67,0.58,54.55,0.9,0.21,2.02,78.95,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.11,50,0.05,3,100
2,Dani Rodríguez,1.6,0.63,0.5,1.43,1.42,1.97,0.97,1.2,1,0.74,2.33,0.84,14.63,Mallorca,DC,32,1200000,30/06/2023,Spain,derecho,no,17,1403,6,5.04,1,1.17,23.03,43.45,178,71,5.39,6.16,55.21,2.76,0.19,0.29,0.06,1.8,2.71,1.8,2,0.13,0,0,0.38,4,0,0,24,1.54,79.17,0.06,1.28,35,0.19,10.97,2.63,2.31,20.27,0.77,2.05,30.21,83.44,7.63,76.47,7.18,91.96,8.98,83.57,27.33,87.56,1.6,52,16.75,23.19,0.83,0,0,40,0.26,3.72,82.76,1.99,61.29,1.15,38.89,1.22,0.58,3.78,86.44,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0.32,3,66.667
3,Elady Zorrilla,1.5,0.63,0.32,1.28,1.32,1.72,1.2,0.9,1.42,1.13,2.11,0.96,14.49,Cartagena,DC,30,400000,30/06/2021,Spain,izquierdo,no,20,1469,6,4.91,3,1.33,34.92,39.47,178,75,5.02,5.51,47.78,8.82,0.06,0.09,0.18,2.33,3.25,2.57,4,0.25,0,0,0.37,6,1,0.06,26,1.59,46.15,0.18,1.16,15.79,0.18,14.52,2.7,0.8,14.28,2.02,2.7,23.1,68.7,5.88,55.21,5.09,86.75,6.49,66.98,20.59,74.11,1.35,31.82,15.75,22.4,0.67,0.06,0,50,0.43,2.82,52.17,2.08,38.24,0.92,26.67,0.92,0.25,2.82,67.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0
5,Rubén Castro,1.9,0.79,0.28,1.49,1.8,1.04,0.47,0.06,1.65,0.69,2.33,1.75,14.25,Cartagena,DC,39,100000,30/06/2021,Spain,derecho,no,19,1660,9,7.01,1,1.79,10.08,40.86,169,68,1.36,0.98,38.89,2.06,0.05,0.07,0,0.92,1.26,0.33,0,0,0,0,0.49,8,0,0,33,1.79,48.48,0.05,0.33,0,0.05,4.66,2.87,0.11,9.92,1.63,1.3,15.4,78.87,2.98,63.64,5.31,88.78,3.69,73.53,14.69,80.81,0.38,71.43,14.27,11.42,0.6,0.05,0,50,0.05,1.25,65.22,0.76,71.43,0.54,50,0.87,0,1.14,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50
0,U. Sadiq,3,0.39,0.2,0.9,1.02,1.38,1.01,0.65,2,0.79,3,-0.3,14.04,Almería,DC,23,5000000,30/06/2025,Nigeria,derecho,no,18,1394,9,9.34,1,0.81,25.82,31.75,192,79,2.91,3.42,49.06,3.55,0.06,0.1,0.13,1.16,1.81,2.32,4,0.26,1,0.06,0.58,8,0,0,34,2.2,55.88,0.06,0.26,25,0.06,14.27,3.29,0.84,10.07,1.1,1.74,14.07,81.65,1.61,72,5.55,90.7,3.42,69.81,13.62,83.41,0.19,33.33,12.7,7.13,0.58,0.13,0.13,66.67,0.39,0.58,77.78,0.77,83.33,0.32,60,0.71,0.06,1.16,61.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
4,N. Leiva,0.8,1.34,0.66,1.5,1.47,2,1.13,0.99,0.85,0.92,1.22,0.72,13.6,Real Oviedo,DC,24,600000,30/06/2022,Argentina,derecho,si,18,1202,3,2.18,3,2.29,22.61,42.72,176,71,4.12,4.42,50.85,3.29,0,0,0,1.87,2.56,1.72,0,0,0,0,0.22,3,0,0,19,1.42,31.58,0.22,1.65,31.82,0.15,11.68,3.37,1.87,16.47,1.42,1.57,26.81,76.26,6.51,70.11,5.77,85.71,8.99,79.17,23.81,81.45,1.5,35,17.19,22.62,1.2,0.15,0,47.06,0.45,2.7,72.22,2.25,66.67,1.05,28.57,1.5,0.6,3.59,81.25,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0.45,0,0
7,U. Đurđević,2.15,0.24,0.16,1,1.07,1.15,0.64,0.45,1.73,0.97,1.89,1.1,12.55,Sporting Gijón,DC,26,1500000,30/06/2023,Serbia,derecho,no,20,1815,10,8.75,1,0.57,20.78,31.03,181,79,2.78,2.08,40.48,2.98,0.45,0.59,0.05,1.49,1.96,1.88,4,0.2,0,0,0.5,9,0,0,52,2.58,48.08,0.05,0.55,36.36,0.05,11.26,3.17,0.55,8.83,3.22,2.28,12.94,65.13,3.07,43.55,3.87,85.9,2.83,61.4,11.7,68.22,0.74,40,14.55,21.85,0.55,0.05,0,16.67,0.35,1.29,50,0.84,41.18,0.35,14.29,0.55,0.15,1.29,57.69,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,25,0,2,50
15,P. Chavarría,0.4,1.5,0.42,1.33,1.14,1.28,0.67,0.59,1.04,1.08,0.78,1.86,12.09,Málaga,DC,32,1000000,30/06/2021,Argentina,derecho,no,14,1003,3,0.88,2,2.11,28,34.29,185,80,2.78,3.32,37.84,7.45,0,0,0.09,1.53,2.04,1.88,6,0.54,0,0,0.27,3,2,0.18,12,1.08,41.67,0.18,2.06,30.43,0.09,10.05,2.96,0.99,7.72,2.24,1.08,14.81,65.45,2.69,63.33,3.59,87.5,4.94,60,12.47,71.22,0.45,60,16.85,11.48,1.26,0,0,33.33,1.08,0.72,12.5,2.06,52.17,0.63,28.57,1.17,0.54,1.35,93.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,M. Sylla,1.4,0.79,0.13,1.1,1.25,1.33,0.96,0.47,1.19,1.09,1.44,0.47,11.62,Girona,DC,26,700000,30/06/2022,Senegal,derecho,no,17,1444,5,4.46,3,1.61,27.74,37.08,184,80,3.55,2.74,54.55,10.22,0.12,0.17,0.25,1.93,2.71,1.31,3,0.19,1,0.06,0.31,5,2,0.12,35,2.18,34.29,0.19,1.43,26.09,0.19,9.72,3.93,0.87,9.16,1.68,1.68,13.28,68.08,2.37,63.16,2.74,81.82,4.18,67.16,11.47,73.37,0.5,62.5,15.57,14.92,0.56,0,0.06,25,0.31,1.25,55,1.25,40,0.12,50,0.44,0.31,1.18,84.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,G. Blanco Leschuk,1.9,0.47,0.19,1.32,1.1,0.99,0.39,0.36,1.38,1.44,2,-0.19,11.35,Real Oviedo,DC,29,1000000,30/06/2023,Argentina,derecho,si,14,1011,4,4.22,1,0.72,37.57,41.71,190,88,5.16,4.01,48.89,14.87,0.89,1.29,0.09,2.31,3.36,1.96,2,0.18,1,0.09,0.36,4,1,0.09,24,2.14,41.67,0.09,0.89,30,0.09,10.06,4.27,0.45,12.64,3.2,1.16,20.65,68.97,4.01,31.11,5.16,86.21,6.32,74.65,18.34,71.36,1.42,62.5,16.9,25.74,0.62,0.09,0,50,0.27,2.58,48.28,0.89,30,0.45,60,0.45,0.27,1.87,61.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
