,Jugador,AccionesDefensivasRealizadas/90,%DuelosDefensivosGanados,%DuelosAereosGanados,Interceptaciones/90,%PrecisionPasesLargos,PasesProgresivos/90,TirosInterceptados/90,GolesCabeza/90,PuntuacionTotal,Equipo,Posicion,Edad,VM,FinContrato,Nacionalidad,Pie,Cedido,PartidosJugados,MinutosJugados,Goles,xG,Asistencias,xA,Duelos/90,%DuelosGanados,Altura,Peso,Duelosdefensivos/90,DuelosAereos90,Entradas/90,PosesionConquistadaPorEntrada,PosesionConquistadaPorIntercepcion,Faltas/90,TarjetasAmarillas,TarjetasAmarillas/90,TarjetasRojas,TarjetasRojas/90,AccionesAtaqueExitosas/90,Goles/90,GolesSinPenalti,GolesSinPenalti/90,xG/90,GolesCabeza,Remates,Remates/90,%TirosAPorteria,%GolesConvertidos,Asistencias/90,Centros/90,%PrecisionCentros,CentrosAreaPequeña/90,Regates/90,%RegatesRealizados,DuelosOfensivos/90,%DuelosOfensivosGanados,ToquesAreaPenalti/90,CarrerasProgresion/90,Aceleraciones/90,PasesRecibidos/90,PasesLargosRecibidos/90,FaltasRecibidas/90,Pases/90,%PrecisionPases,PasesHaciaDelante/90,%PrecisionPasesHaciaAdelante,PasesHaciaAtras/90,%PrecisionPasesHaciaAtras,PasesLaterales/90,%PrecisionPasesLaterales,PasesCorMed90,%PrecisionPasesCorMed,PasesLargos/90,LongitudMediaPases,LongitudMediaPasesLargos,xA/90,Asistencias/90.1,SegundasAsistencias/90,TercerasAsistencias/90,Desmarques/90,%PrecisionDesmarques,JugadasClaves/90,PasesUltimoTercio/90,%PrecisionPasesUltimoTercio,PasesAreaPenalti/90,%PasesAreaPequeña,PasesProfundidad/90,%PrecisionPasesProfundidad,AtaquesProfundidad/90,CentrosUltimoTercio/90,%PrecisionPasesProgresivos,GolesRecibidos,GolesRecibidos/90,RematesContra,RematesContra/90,PorteriasImbatidas,%Paradas,xGEnContra,xGEnContra/90,GolesEvitados,GolesEvitados/90,Salidas/90,DuelosAereosPortero90,TirosLibres/90,TirosLibresDirecto/90,%TirosLibresDirecto,Córneres/90,Penaltis,%PenaltisConvertidos
0,Frederico Venâncio,2.5,2.74,3,2,1.07,0.69,1.12,0,13.12,Lugo,DFC,27,1000000,30/06/2022,Portugal,derecho,si,15,1441,1,1.28,0,0.18,10.62,74.71,186,80,4.68,3.31,0.25,0.3,8.68,0.81,3,0.19,0,0,0.44,0.06,1,0.06,0.08,0,7,0.44,42.86,14.286,0,0.12,50,0,0.19,66.67,0.56,55.56,0.56,0.87,0.44,15.86,0.37,0.5,29.67,80.42,13.8,70.14,1.69,92.59,11.87,92.63,23.73,85,5.81,24.59,43,0.01,0.06,0,0,0.12,50,0.06,5.62,67.78,0.56,22.22,0.5,37.5,0,0.06,72.41,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0
1,Fernando Calero,2.31,2.93,2.44,1.64,1.02,0.91,1.21,0,12.46,Espanyol,DFC,25,3500000,30/06/2024,Spain,derecho,no,15,1203,0,0.09,1,0.08,13.54,65.75,183,71,5.16,4.64,0.15,0.21,8.13,0.6,2,0.15,0,0,0.37,0,0,0,0.01,0,1,0.07,100,0,0.07,0.07,0,0,0.3,75,0.97,46.15,0.15,1.2,0.15,39.5,0.52,0.45,57.46,89.97,25.89,82.37,2.09,89.29,25.51,96.77,51.85,93.36,5.54,20.88,39.1,0.01,0.07,0,0,0.07,100,0.07,6.28,73.81,0.67,22.22,0.52,14.29,0.15,0,76.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,B. Espinosa,2.44,2.52,2.48,1.73,0.94,0.88,1.16,0.24,12.39,Girona,DFC,31,2000000,30/06/2023,Colombia,derecho,no,19,1824,1,1.1,0,0.03,17.32,61.54,192,85,6.46,6.86,0.05,0.07,8.66,1.43,3,0.15,1,0.05,0.44,0.05,1,0.05,0.05,1,13,0.64,30.77,7.692,0,0.1,0,0,0.35,71.43,1.09,50,0.94,0.49,0.15,26.69,0.54,0.59,42.68,82.89,19.44,70.81,1.78,97.22,18.85,94.24,34.1,90.01,8.49,24.92,41.41,0,0.1,0,0.05,0,0,0,5.82,55.08,0.49,30,0.54,18.18,0.15,0,69.73,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
3,Bruno Wilson,2.39,2.84,2.36,1.53,1.2,0.7,0.96,0.38,12.36,Tenerife,DFC,24,1500000,30/06/2023,Portugal,derecho,si,13,1191,1,1.23,0,0.05,14.66,63.4,191,80,6.2,5.82,0.23,0.31,7.5,1.13,6,0.45,0,0,0.08,0.08,1,0.08,0.09,1,6,0.45,16.67,16.667,0,0.08,0,0.08,0,0,0.38,40,0.6,0.3,0.15,24.56,0.23,0.38,36.8,88.91,14.21,78.19,1.74,100,19.42,95.72,29.62,93.62,7.1,26.05,41.76,0,0.08,0,0.08,0.08,0,0.08,6.57,73.56,0.83,18.18,0.45,16.67,0.15,0,86.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,L. Cabrera,2.1,2.53,2.54,1.79,0.9,1.06,0.83,0,11.75,Sabadell,DFC,25,300000,30/06/2022,Spain,derecho,si,17,1533,2,1.9,0,0,17.73,64.57,187,78,5.4,7.46,0.35,0.48,7.56,0.82,5,0.29,0,0,0.47,0.12,2,0.12,0.11,2,10,0.59,60,20,0,0.06,100,0,0.12,50,0.94,43.75,0.7,0.59,0.23,35.81,0.23,0.53,49.73,88.08,15.79,70.63,2.41,95.12,28.77,96.73,42.39,94.6,7.28,23.35,42.69,0,0,0,0,0,0,0,5.11,57.47,0.41,28.57,0.29,40,0.12,0.06,68.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Juan Ibiza,2.27,2.74,2.44,1.55,0.85,0.73,0.96,0.57,12.11,Almería,DFC,21,3000000,30/06/2025,Spain,izquierdo,si,18,1599,2,0.96,0,0.02,11.93,65.57,187,75,4.17,4.78,0.34,0.53,7.66,1.29,2,0.11,0,0,0.73,0.11,2,0.11,0.05,2,5,0.28,40,40,0,0,0,0,0.62,90.91,1.01,66.67,0.39,0.84,0.62,34.9,0.11,0.23,48.18,92.06,19.36,85.47,2.53,95.56,23.13,97.32,44.92,94.11,3.26,21.25,34.15,0,0.11,0,0.06,0.06,100,0,4.84,86.05,0,0,0.17,66.67,0,0,74.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Alejandro Catena,1.99,2.83,2.8,1.32,0.86,0.92,0.8,0,11.52,Espanyol,DFC,29,5000000,30/06/2024,Uruguay,izquierdo,no,18,1577,0,0.12,0,0.01,10.67,58.82,187,80,3.6,4.34,0.23,0.33,9.26,0.4,3,0.17,0,0,0.51,0,0,0,0.01,0,3,0.17,33.33,0,0,0.06,100,0,0.63,54.55,1.03,38.89,0.46,0.74,0.23,35.16,0.4,0.46,50.79,82.92,25.23,72.17,1.03,88.89,21.29,95.17,41.2,89.89,9.53,25.69,43.56,0,0.06,0,0.06,0.29,20,0,8.9,57.69,0.51,22.22,0.91,6.25,0.29,0.06,76.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Jorge Cuenca,1.87,2.62,2.58,1.36,1.09,0.72,1.23,0.52,11.99,Mallorca,DFC,29,2000000,30/06/2024,Spain,derecho,no,17,1551,1,1.94,0,0.03,15.49,67.79,187,80,5.74,5.4,0.17,0.27,6.21,1.57,4,0.23,1,0.06,0.58,0.06,1,0.06,0.11,1,12,0.7,25,8.333,0,0,0,0,0.35,100,1.04,61.11,0.81,2.32,0.93,27.79,0.29,0.81,44.85,90.94,16.65,81.18,2.9,94,20.77,97.49,40.85,94.32,4,20.99,35.38,0,0.06,0,0,0.06,100,0,5.16,83.15,0.06,0,0.23,75,0,0,69.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Christian Fernández,1.84,2.48,2.45,1.5,1.2,1.2,0.67,0,11.34,Rayo Vallecano,DFC,26,1000000,30/06/2023,Spain,derecho,no,19,1836,1,1.51,0,0.6,14.56,66.33,194,82,4.71,5.83,0.34,0.57,7.85,1.18,6,0.29,0,0,0.49,0.05,1,0.05,0.07,0,9,0.44,33.33,11.111,0,0,0,0,0.54,54.55,0.88,44.44,1.08,1.32,0.29,30.59,0.25,0.64,48.58,82.44,21.91,69.57,2.4,91.84,20.49,94.5,39.07,90.21,9.51,24.04,42.65,0.03,0.15,0,0,0.39,12.5,0.05,8.43,52.33,0.93,15.79,1.27,19.23,0.2,0,72.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Juanma Marrero,1.97,2.43,2.83,1.34,1.15,0.85,0.76,0,11.33,Real Oviedo,DFC,35,200000,30/06/2021,Spain,izquierdo,no,14,1216,0,0.17,0,0,12.66,63.74,182,77,3.7,4.81,0.15,0.2,7.32,1.04,5,0.37,0,0,0.3,0,0,0,0.01,0,3,0.22,0,0,0,0.22,33.33,0,0.15,100,1.11,66.67,0.37,0.81,0.3,24.65,0.15,1.26,39.45,83.86,20.87,76.24,1.04,78.57,15.69,95.28,31.09,87.86,8.14,25.59,35.72,0,0,0,0,0.15,50,0,6.66,77.78,0.67,33.33,0.44,16.67,0.3,0.07,78.11,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0
