,EquipoInicio,EquipoFin,Semejanza
26,AD Alcorcon,Ponferradina,0.3796319718400101
25,AD Alcorcon,Malaga,0.3363542314019317
53,Albacete,Girona FC,0.6508038460234091
47,Albacete,Malaga,0.37699781755670003
482,Almeria,Espanyol,0.7418183939824694
479,Almeria,Real Sporting,0.5664901602189324
249,CE Sabadell,UD Logrones,0.49308863174356404
259,CE Sabadell,Real Sporting,0.49062839694623905
123,CF Fuenlabrada,Leganes,0.45528938774839806
110,CF Fuenlabrada,Lugo,0.33128247810202777
176,Cartagena,Lugo,0.4329880580902287
180,Cartagena,Ponferradina,0.36974454183879735
410,Castellon,Real Zaragoza,0.5102305632597869
417,Castellon,Almeria,0.450142467449897
461,Espanyol,Almeria,0.7418183939824694
459,Espanyol,Mallorca,0.6927265008808464
200,Girona FC,Albacete,0.6508038460234091
211,Girona FC,Leganes,0.4327646144267076
135,Las Palmas,Malaga,0.5356602880833697
136,Las Palmas,Ponferradina,0.40392108777562596
291,Leganes,CF Fuenlabrada,0.45528938774839806
295,Leganes,Girona FC,0.4327646144267076
8,Lugo,Cartagena,0.4329880580902287
4,Lugo,Ponferradina,0.4106015138324019
72,Malaga,Las Palmas,0.5356602880833697
73,Malaga,UD Logrones,0.48516031021608347
438,Mallorca,Espanyol,0.6927265008808464
439,Mallorca,Almeria,0.5264169927559169
346,Mirandes,Rayo Vallecano,0.5352152325977104
343,Mirandes,Leganes,0.3855795193721694
88,Ponferradina,Lugo,0.4106015138324019
94,Ponferradina,Las Palmas,0.40392108777562596
367,Rayo Vallecano,Mirandes,0.5352152325977104
365,Rayo Vallecano,Leganes,0.4167486644064604
227,Real Oviedo,UD Logrones,0.2753018603613106
221,Real Oviedo,AD Alcorcon,0.2732513917779407
395,Real Sporting,Almeria,0.5664901602189324
385,Real Sporting,CE Sabadell,0.49062839694623905
326,Real Zaragoza,Castellon,0.5102305632597869
325,Real Zaragoza,Real Sporting,0.258074602908505
266,Tenerife,Albacete,0.3388735107508318
280,Tenerife,Rayo Vallecano,0.2585064698820086
165,UD Logrones,CE Sabadell,0.49308863174356404
157,UD Logrones,Malaga,0.48516031021608347
